Method , Precision , Recall , Fscore , Accuracy
RF+BOWV , 0.675(+/-0.033) , 0.671(+/-0.035) , 0.67(+/-0.037) , 0.674(+/-0.034)
RF+SV , 0.693(+/-0.047) , 0.69(+/-0.048) , 0.689(+/-0.05) , 0.691(+/-0.047)
RF+TF-IDF , 0.655(+/-0.031) , 0.654(+/-0.031) , 0.654(+/-0.032) , 0.655(+/-0.031)
RF+SV+TF-IDF , 0.697(+/-0.045) , 0.693(+/-0.046) , 0.692(+/-0.047) , 0.695(+/-0.045)
RF+TF-IDF+BOWV , 0.686(+/-0.036) , 0.681(+/-0.038) , 0.68(+/-0.04) , 0.683(+/-0.037)
RF+SV+BOWV , 0.692(+/-0.042) , 0.688(+/-0.044) , 0.687(+/-0.045) , 0.69(+/-0.043)
RF+SV+TF-IDF+BOWV , 0.697(+/-0.043) , 0.693(+/-0.045) , 0.692(+/-0.046) , 0.695(+/-0.044)
GNB+BOWV , 0.584(+/-0.023) , 0.574(+/-0.02) , 0.558(+/-0.021) , 0.569(+/-0.02)
SVC+BOWV , 0.685(+/-0.029) , 0.685(+/-0.029) , 0.684(+/-0.029) , 0.685(+/-0.028)
DT+BOWV , 0.602(+/-0.03) , 0.599(+/-0.03) , 0.594(+/-0.033) , 0.597(+/-0.031)
GNB+SV , 0.638(+/-0.047) , 0.637(+/-0.046) , 0.635(+/-0.047) , 0.636(+/-0.046)
SVC+SV , 0.672(+/-0.033) , 0.671(+/-0.034) , 0.67(+/-0.034) , 0.671(+/-0.033)
DT+SV , 0.595(+/-0.024) , 0.595(+/-0.024) , 0.594(+/-0.024) , 0.595(+/-0.024)
GNB+TF-IDF , 0.639(+/-0.034) , 0.639(+/-0.034) , 0.638(+/-0.034) , 0.639(+/-0.033)
SVC+TF-IDF , 0.669(+/-0.034) , 0.668(+/-0.035) , 0.668(+/-0.035) , 0.669(+/-0.034)
DT+TF-IDF , 0.595(+/-0.02) , 0.593(+/-0.019) , 0.591(+/-0.019) , 0.594(+/-0.019)
